Date,EPS,PE,
29-04-2015,5.27,25.36,DLF
30-04-2015,5.27,25.87,DLF
04-05-2015,5.27,26.25,DLF
05-05-2015,5.27,26.44,DLF
06-05-2015,5.27,25.03,DLF
07-05-2015,5.27,24.46,DLF
08-05-2015,5.27,25.24,DLF
11-05-2015,5.27,24.72,DLF
12-05-2015,5.27,23.81,DLF
13-05-2015,5.27,23.72,DLF
14-05-2015,5.27,24.09,DLF
15-05-2015,5.27,23.69,DLF
18-05-2015,5.27,23.29,DLF
19-05-2015,5.27,23.57,DLF
20-05-2015,5.27,23.41,DLF
21-05-2015,5.27,23.58,DLF
22-05-2015,5.27,23.38,DLF
25-05-2015,5.27,23.1,DLF
26-05-2015,5.27,22.22,DLF
27-05-2015,5.27,22.64,DLF
28-05-2015,5.27,22.61,DLF
29-05-2015,5.27,22.37,DLF
01-06-2015,5.27,22.43,DLF
02-06-2015,5.27,21.46,DLF
03-06-2015,5.27,20.93,DLF
04-06-2015,5.27,21.09,DLF
05-06-2015,5.27,20.36,DLF
08-06-2015,5.27,20.83,DLF
09-06-2015,5.27,20.99,DLF
10-06-2015,5.27,21.26,DLF
11-06-2015,5.27,20.48,DLF
12-06-2015,5.27,20.42,DLF
15-06-2015,5.27,20.51,DLF
16-06-2015,5.27,20.48,DLF
17-06-2015,5.27,20.61,DLF
18-06-2015,5.27,20.3,DLF
19-06-2015,5.27,20.23,DLF
22-06-2015,5.27,21.76,DLF
23-06-2015,5.27,22.3,DLF
24-06-2015,5.27,21.72,DLF
25-06-2015,5.27,22.41,DLF
26-06-2015,5.27,22.79,DLF
29-06-2015,5.27,22.16,DLF
30-06-2015,4.54,25.76,DLF
01-07-2015,4.54,25.82,DLF
02-07-2015,4.54,25.72,DLF
03-07-2015,4.54,25.56,DLF
06-07-2015,4.54,25.9,DLF
07-07-2015,4.54,26.19,DLF
08-07-2015,4.54,25.69,DLF
09-07-2015,4.54,25.75,DLF
10-07-2015,4.54,25.25,DLF
13-07-2015,4.54,25.4,DLF
14-07-2015,4.54,25.23,DLF
15-07-2015,4.54,25.71,DLF
16-07-2015,4.54,25.58,DLF
17-07-2015,4.54,25.16,DLF
20-07-2015,4.54,23.93,DLF
21-07-2015,4.54,23.54,DLF
22-07-2015,4.54,23.47,DLF
23-07-2015,4.54,23.76,DLF
24-07-2015,4.54,22.7,DLF
27-07-2015,4.54,22.3,DLF
28-07-2015,4.54,21.1,DLF
29-07-2015,4.54,22.35,DLF
30-07-2015,4.54,24.09,DLF
31-07-2015,4.54,25.29,DLF
03-08-2015,4.54,25.55,DLF
04-08-2015,4.54,25.37,DLF
05-08-2015,4.54,26.88,DLF
06-08-2015,4.54,26.99,DLF
07-08-2015,4.54,27.7,DLF
10-08-2015,4.54,28.24,DLF
11-08-2015,4.54,27.39,DLF
12-08-2015,4.54,25.82,DLF
13-08-2015,4.54,25.13,DLF
14-08-2015,4.54,29.72,DLF
17-08-2015,4.54,28.48,DLF
