Title,Author,Rating
"Napoleon's Pyramids (Ethan Gage, #1)",William  Dietrich,"3.54 avg rating — 4,367 ratings"
Burger's Daughter,Nadine Gordimer,"3.52 avg rating — 2,104 ratings"
The Engagement,Chloe Hooper,"2.82 avg rating — 1,295 ratings"
Romanitas,Sophia McDougall,3.25 avg rating — 698 ratings
Zone One,Colson Whitehead,"3.26 avg rating — 23,575 ratings"
See What I Have Done,Sarah  Schmidt,"3.18 avg rating — 14,659 ratings"
"The Embers of Heaven (Jin-Shei, #2)",Alma Alexander,3.32 avg rating — 261 ratings
How Should a Person Be?,Sheila Heti,"3.31 avg rating — 14,466 ratings"
There but for the,Ali Smith,"3.49 avg rating — 9,002 ratings"
N. P,Banana Yoshimoto,"3.55 avg rating — 10,652 ratings"
"Banewreaker (The Sundering, #1)",Jacqueline Carey,"3.47 avg rating — 4,448 ratings"
Wink Poppy Midnight,April Genevieve Tucholke,"3.24 avg rating — 15,687 ratings"
Ladies' Man,Richard Price,3.50 avg rating — 701 ratings
"Space Opera (Space Opera, #1)",Catherynne M. Valente,"3.47 avg rating — 15,136 ratings"
Lust: or No Harm Done,Geoff Ryman,3.51 avg rating — 204 ratings
"Evermore (The Immortals, #1)",Alyson Noel,"3.59 avg rating — 286,453 ratings"
Clever Girl,Tessa Hadley,"3.50 avg rating — 2,868 ratings"
The Swan Gondola,Timothy Schaffert,"3.48 avg rating — 1,448 ratings"
The Sport of Kings,C.E. Morgan,"3.57 avg rating — 3,582 ratings"
Manon Lescaut,Antoine François Prévost d'Exiles,"3.44 avg rating — 12,159 ratings"
Medieval Flowers,Miranda Innes,3.47 avg rating — 19 ratings
NW,Zadie Smith,"3.48 avg rating — 39,953 ratings"
