Title,Author,Rating
Book Lovers,Emily Henry,"4.17 avg rating — 847,407 ratings"
Lessons in Chemistry,Bonnie Garmus,"4.32 avg rating — 774,936 ratings"
I'm Glad My Mom Died,Jennette McCurdy,"4.49 avg rating — 663,418 ratings"
Reminders of Him,Colleen Hoover,"4.42 avg rating — 994,764 ratings"
"The Maid (Molly the Maid, #1)",Nita Prose,"3.80 avg rating — 421,623 ratings"
"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,"4.51 avg rating — 268,641 ratings"
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"4.22 avg rating — 522,293 ratings"
Sea of Tranquility,Emily St. John Mandel,"4.10 avg rating — 186,770 ratings"
Carrie Soto Is Back,Taylor Jenkins Reid,"4.23 avg rating — 386,555 ratings"
Remarkably Bright Creatures,Shelby Van Pelt,"4.43 avg rating — 308,331 ratings"
Love on the Brain,Ali Hazelwood,"3.94 avg rating — 340,012 ratings"
Babel: An Arcane History,R.F. Kuang,"4.24 avg rating — 128,784 ratings"
Every Summer After,Carley Fortune,"4.25 avg rating — 416,654 ratings"
The Diamond Eye,Kate Quinn,"4.29 avg rating — 107,686 ratings"
The Bodyguard,Katherine Center,"4.01 avg rating — 151,685 ratings"
Black Cake,Charmaine Wilkerson,"4.11 avg rating — 135,189 ratings"
"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,"3.96 avg rating — 284,745 ratings"
"Things We Never Got Over (Knockemout, #1)",Lucy Score,"4.21 avg rating — 542,555 ratings"
The Paris Apartment,Lucy Foley,"3.68 avg rating — 416,937 ratings"
"Part of Your World (Part of Your World, #1)",Abby Jimenez,"4.34 avg rating — 155,251 ratings"
"Daughter of the Moon Goddess (The Celestial Kingdom Duology, #1)",Sue Lynn Tan,"4.14 avg rating — 64,382 ratings"
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,"4.56 avg rating — 91,352 ratings"
Gallant,V.E. Schwab,"3.74 avg rating — 92,309 ratings"
I Must Betray You,Ruta Sepetys,"4.42 avg rating — 55,826 ratings"
The Book of Cold Cases,Simone St. James,"3.79 avg rating — 98,968 ratings"
One Italian Summer,Rebecca Serle,"3.61 avg rating — 180,116 ratings"
"Under One Roof (The STEMinist Novellas, #1)",Ali Hazelwood,"3.68 avg rating — 128,719 ratings"
The Girl Who Fell Beneath the Sea,Axie Oh,"4.14 avg rating — 49,119 ratings"
I Kissed Shara Wheeler,Casey McQuiston,"3.94 avg rating — 70,486 ratings"
A Flicker in the Dark,Stacy Willingham,"4.01 avg rating — 277,452 ratings"
Upgrade,Blake Crouch,"3.82 avg rating — 77,713 ratings"
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,"4.16 avg rating — 201,949 ratings"
