Title,Author,Rating
"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,"3.91 avg rating — 1,081,512 ratings"
"Lore Olympus: Volume Two (Lore Olympus, #2)",Rachel  Smythe,"4.47 avg rating — 46,135 ratings"
"Legends & Lattes (Legends & Lattes, #1)",Travis  Baldree,"4.22 avg rating — 108,420 ratings"
"Stuck with You (The STEMinist Novellas, #2)",Ali Hazelwood,"3.60 avg rating — 99,045 ratings"
The Golden Couple,Greer Hendricks,"really liked it4.00 avg rating — 168,578 ratings"
The Last House on the Street,Diane Chamberlain,"4.24 avg rating — 45,710 ratings"
Nettle & Bone,T. Kingfisher,"4.17 avg rating — 43,021 ratings"
Something Wilder,Christina Lauren,"3.69 avg rating — 92,280 ratings"
Olga Dies Dreaming,Xóchitl González,"really liked it4.00 avg rating — 51,368 ratings"
"Twisted Hate (Twisted, #3)",Ana Huang,"4.05 avg rating — 256,823 ratings"
"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,"3.87 avg rating — 150,794 ratings"
The Dead Romantics,Ashley Poston,"3.98 avg rating — 103,165 ratings"
"The War of Two Queens (Blood and Ash, #4)",Jennifer L. Armentrout,"4.07 avg rating — 135,250 ratings"
"Below Zero (The STEMinist Novellas, #3)",Ali Hazelwood,"3.61 avg rating — 90,450 ratings"
Violeta,Isabel Allende,"4.03 avg rating — 65,834 ratings"
Notes on an Execution,Danya Kukafka,"4.11 avg rating — 65,113 ratings"
The Cartographers,Peng Shepherd,"3.65 avg rating — 57,402 ratings"
"Twisted Lies (Twisted, #4)",Ana Huang,"4.26 avg rating — 217,754 ratings"
The Kaiju Preservation Society,John Scalzi,"4.02 avg rating — 40,907 ratings"
Kaikeyi,Vaishnavi Patel,"4.20 avg rating — 22,778 ratings"
"Where the Drowned Girls Go (Wayward Children, #7)",Seanan McGuire,"4.07 avg rating — 14,234 ratings"
"Book of Night (Book of Night, #1)",Holly Black,"3.55 avg rating — 53,580 ratings"
Demon Copperhead,Barbara Kingsolver,"4.53 avg rating — 202,735 ratings"
The Candy House,Jennifer Egan,"3.67 avg rating — 46,655 ratings"
How High We Go in the Dark,Sequoia Nagamatsu,"3.85 avg rating — 42,993 ratings"
The It Girl,Ruth Ware,"3.87 avg rating — 180,570 ratings"
Trust,Hernan Diaz,"3.87 avg rating — 51,707 ratings"
The No-Show,Beth O'Leary,"3.83 avg rating — 77,339 ratings"
The Overnight Guest,Heather Gudenkauf,"4.04 avg rating — 75,039 ratings"
"Anatomy: A Love Story (The Anatomy Duology, #1)",Dana Schwartz,"3.83 avg rating — 57,131 ratings"
The Cackling of the Crows,Neal Sellers,4.77 avg rating — 31 ratings
Young Mungo,Douglas   Stuart,"4.38 avg rating — 41,923 ratings"
The Measure,Nikki Erlick,"4.03 avg rating — 127,015 ratings"
The Christie Affair,Nina de Gramont,"3.73 avg rating — 69,005 ratings"
"A Magic Steeped in Poison (The Book of Tea, #1)",Judy I. Lin,"3.86 avg rating — 20,630 ratings"
Daisy Darker,Alice Feeney,"3.78 avg rating — 131,547 ratings"
The Night Shift,Alex Finlay,"3.93 avg rating — 53,236 ratings"
"Fevered Star (Between Earth and Sky, #2)",Rebecca Roanhorse,"4.10 avg rating — 12,765 ratings"
Mad Honey,Jodi Picoult,"4.14 avg rating — 256,275 ratings"
The Hotel Nantucket,Elin Hilderbrand,"4.08 avg rating — 176,059 ratings"
"What Moves the Dead (Sworn Soldier, #1)",T. Kingfisher,"3.93 avg rating — 38,377 ratings"
"The Ink Black Heart (Cormoran Strike, #6)",Robert Galbraith,"4.11 avg rating — 70,640 ratings"
"Ruby Fever (Hidden Legacy, #6)",Ilona Andrews,"4.45 avg rating — 14,002 ratings"
Reckless Girls,Rachel Hawkins,"3.58 avg rating — 109,201 ratings"
The School for Good Mothers,Jessamine Chan,"3.55 avg rating — 87,536 ratings"
"The Book Woman's Daughter (The Book Woman of Troublesome Creek, #2)",Kim Michele Richardson,"4.23 avg rating — 52,170 ratings"
The House Across the Lake,Riley Sager,"3.59 avg rating — 172,532 ratings"
"Electric Idol (Dark Olympus, #2)",Katee Robert,"really liked it4.00 avg rating — 72,445 ratings"
Fairy Tale,Stephen King,"4.14 avg rating — 172,532 ratings"
Killers of a Certain Age,Deanna Raybourn,"3.88 avg rating — 68,703 ratings"
Nine Lives,Peter  Swanson,"3.57 avg rating — 32,142 ratings"
"Hunt the Stars (Starlight's Shadow, #1)",Jessie Mihalik,"4.03 avg rating — 8,161 ratings"
The Magnificent Lives of Marjorie Post,Allison Pataki,"4.16 avg rating — 36,424 ratings"
Bloomsbury Girls,Natalie Jenner,"3.87 avg rating — 11,993 ratings"
"Shadows Reel (Joe Pickett, #22)",C.J. Box,"4.19 avg rating — 19,696 ratings"
Nora Goes Off Script,Annabel Monaghan,"4.15 avg rating — 89,804 ratings"
This Time Tomorrow,Emma Straub,"3.80 avg rating — 112,110 ratings"
"Kingdom of the Feared (Kingdom of the Wicked, #3)",Kerri Maniscalco,"3.89 avg rating — 73,144 ratings"
The Change,Kirsten Miller,"4.10 avg rating — 31,284 ratings"
The Magnolia Palace,Fiona  Davis,"3.89 avg rating — 61,407 ratings"
"Lore Olympus: Volume Three (Lore Olympus, #3)",Rachel  Smythe,"4.52 avg rating — 31,425 ratings"
Hotel Magnifique,Emily J. Taylor,"3.79 avg rating — 17,174 ratings"
Peach Blossom Spring,Melissa Fu,"4.20 avg rating — 14,498 ratings"
Hide,Kiersten White,"3.33 avg rating — 27,138 ratings"
The Violin Conspiracy,Brendan Slocumb,"4.14 avg rating — 41,330 ratings"
King of Wrath (Kings of Sin #1),Ana Huang,"4.08 avg rating — 161,504 ratings"
"Sweep of the Heart (Innkeeper Chronicles, #5)",Ilona Andrews,"4.55 avg rating — 11,826 ratings"
"Cursed (Gilded, #2)",Marissa Meyer,"4.04 avg rating — 15,512 ratings"
