Title,Author,Rating
My Wife Jodie,V.A. Rudys,3.97 avg rating — 689 ratings
Cloud Cuckoo Land,Anthony Doerr,"4.26 avg rating — 183,626 ratings"
"The Zero Signal (Science Crimes Division, #1)",Rick  Wayne,4.20 avg rating — 74 ratings
Leaving Isn't the Hardest Thing,Lauren  Hough,"3.33 avg rating — 9,365 ratings"
"Blood Heir (Aurelia Ryder, #1; World of Kate Daniels, #13)",Ilona Andrews,"4.46 avg rating — 19,241 ratings"
Lore,Alexandra Bracken,"3.77 avg rating — 81,576 ratings"
The Good Sister,Sally Hepworth,"4.17 avg rating — 158,763 ratings"
"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,"4.63 avg rating — 328,659 ratings"
The Guncle,Steven  Rowley,"4.15 avg rating — 112,354 ratings"
Local Woman Missing,Mary Kubica,"4.15 avg rating — 309,298 ratings"
"Wild Sign (Alpha & Omega, #6)",Patricia Briggs,"4.51 avg rating — 19,891 ratings"
Outlawed,Anna North,"3.53 avg rating — 65,782 ratings"
The Paper Palace,Miranda Cowley Heller,"3.83 avg rating — 284,105 ratings"
"Detransition, Baby",Torrey Peters,"3.96 avg rating — 70,650 ratings"
The Burning Girls,C.J. Tudor,"4.02 avg rating — 34,457 ratings"
"Glint (The Plated Prisoner, #2)",Raven Kennedy,"4.19 avg rating — 87,574 ratings"
Second First Impressions,Sally  Thorne,"3.55 avg rating — 72,270 ratings"
"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,"3.97 avg rating — 104,496 ratings"
Last One to Die,Cynthia Murphy,"3.42 avg rating — 2,328 ratings"
"Lore Olympus: Volume One (Lore Olympus, #1)",Rachel  Smythe,"4.31 avg rating — 108,785 ratings"
Under the Whispering Door,T.J. Klune,"4.17 avg rating — 177,709 ratings"
The Ex Talk,Rachel Lynn Solomon,"3.71 avg rating — 78,807 ratings"
"Mina and the Undead (Mina and the Undead, #1)",Amy McCaw,"3.87 avg rating — 1,312 ratings"
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,"4.14 avg rating — 43,488 ratings"
"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"really liked it4.00 avg rating — 447,286 ratings"
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"4.23 avg rating — 82,477 ratings"
"Life's Too Short (The Friend Zone, #3)",Abby Jimenez,"4.19 avg rating — 81,687 ratings"
"Gleam (The Plated Prisoner, #3)",Raven Kennedy,"4.42 avg rating — 79,862 ratings"
The Lincoln Highway,Amor Towles,"4.24 avg rating — 232,932 ratings"
The Plot,Jean Hanff Korelitz,"3.83 avg rating — 107,348 ratings"
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,"4.57 avg rating — 29,823 ratings"
The Reading List,Sara Nisha Adams,"4.09 avg rating — 83,508 ratings"
Black Buck,Mateo Askaripour,"3.72 avg rating — 25,443 ratings"
Lycanthropy and Other Chronic Illnesses,Kristen O'Neal,"3.97 avg rating — 2,214 ratings"
When the Stars Go Dark,Paula McLain,"3.86 avg rating — 52,464 ratings"
Ariadne,Jennifer Saint,"3.81 avg rating — 97,731 ratings"
Instructions for Dancing,Nicola Yoon,"3.99 avg rating — 47,078 ratings"
The Girl Who...,Andreina Cordani,3.72 avg rating — 267 ratings
All Rhodes Lead Here,Mariana Zapata,"4.33 avg rating — 91,522 ratings"
The One Hundred Years of Lenni and Margot,Marianne Cronin,"4.31 avg rating — 79,312 ratings"
"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,"4.29 avg rating — 31,856 ratings"
Ace of Spades,Faridah Àbíké-Íyímídé,"4.20 avg rating — 74,193 ratings"
Great Circle,Maggie Shipstead,"4.12 avg rating — 60,478 ratings"
The Forest of Vanishing Stars,Kristin Harmel,"4.26 avg rating — 60,645 ratings"
"The Shadow of the Gods (Bloodsworn Saga, #1)",John Gwynne,"4.26 avg rating — 30,586 ratings"
The Removed,Brandon Hobson,"3.39 avg rating — 11,723 ratings"
The Premonition: A Pandemic Story,Michael   Lewis,"4.35 avg rating — 37,465 ratings"
Infinite Country,Patricia Engel,"3.94 avg rating — 42,499 ratings"
The Other Black Girl,Zakiya Dalila Harris,"3.38 avg rating — 69,103 ratings"
Hour of the Witch,Chris Bohjalian,"3.85 avg rating — 40,347 ratings"
The Boy I Am,K.L. Kettle,3.64 avg rating — 500 ratings
Razorblade Tears,S.A. Cosby,"4.10 avg rating — 78,887 ratings"
The Prophets,Robert Jones Jr.,"3.93 avg rating — 19,386 ratings"
Yellow Wife,Sadeqa Johnson,"4.42 avg rating — 49,801 ratings"
"Across the Green Grass Fields (Wayward Children, #6)",Seanan McGuire,"3.80 avg rating — 18,060 ratings"
"A Desolation Called Peace (Teixcalaan, #2)",Arkady Martine,"4.34 avg rating — 24,087 ratings"
Never Saw Me Coming,Vera Kurian,"3.63 avg rating — 28,685 ratings"
Wish You Were Here,Jodi Picoult,"3.94 avg rating — 206,970 ratings"
The People We Keep,Allison Larkin,"4.13 avg rating — 73,060 ratings"
"The Man Who Died Twice (Thursday Murder Club, #2)",Richard Osman,"4.40 avg rating — 174,467 ratings"
