Title,Author,Rating
Project Hail Mary,Andy Weir,"4.52 avg rating — 468,384 ratings"
The Four Winds,Kristin Hannah,"4.30 avg rating — 580,511 ratings"
Malibu Rising,Taylor Jenkins Reid,"4.06 avg rating — 891,716 ratings"
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,"4.45 avg rating — 676,016 ratings"
People We Meet on Vacation,Emily Henry,"3.90 avg rating — 968,295 ratings"
The Love Hypothesis,Ali Hazelwood,"4.18 avg rating — 1,175,468 ratings"
Klara and the Sun,Kazuo Ishiguro,"3.76 avg rating — 295,974 ratings"
The Rose Code,Kate Quinn,"4.46 avg rating — 212,651 ratings"
"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,"4.37 avg rating — 132,300 ratings"
The Lost Apothecary,Sarah Penner,"3.76 avg rating — 318,934 ratings"
The Push,Ashley Audrain,"4.07 avg rating — 290,440 ratings"
Karma: A Yogi's Guide to Crafting Your Destiny,Sadhguru,"4.32 avg rating — 4,765 ratings"
The Last Thing He Told Me,Laura Dave,"3.85 avg rating — 825,962 ratings"
"Beautiful World, Where Are You",Sally Rooney,"3.55 avg rating — 345,299 ratings"
"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,"3.86 avg rating — 593,172 ratings"
One Last Stop,Casey McQuiston,"3.95 avg rating — 206,697 ratings"
Later,Stephen King,"3.99 avg rating — 116,274 ratings"
The Anthropocene Reviewed,John Green,"4.37 avg rating — 103,909 ratings"
Billy Summers,Stephen King,"4.22 avg rating — 138,290 ratings"
"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,"4.21 avg rating — 236,006 ratings"
"The Gilded Ones (The Gilded Ones, #1)",Namina Forna,"4.01 avg rating — 43,058 ratings"
The Maidens,Alex Michaelides,"3.63 avg rating — 282,714 ratings"
The Soulmate Equation,Christina Lauren,"4.02 avg rating — 198,722 ratings"
"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,"4.32 avg rating — 52,809 ratings"
"Chain of Iron (The Last Hours, #2)",Cassandra Clare,"4.44 avg rating — 68,358 ratings"
The Final Girl Support Group,Grady Hendrix,"3.54 avg rating — 112,255 ratings"
Crying in H Mart,Michelle Zauner,"4.28 avg rating — 326,223 ratings"
"Finlay Donovan Is Killing It (Finlay Donovan, #1)",Elle Cosimano,"4.03 avg rating — 132,649 ratings"
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,"4.54 avg rating — 87,476 ratings"
The Paris Library,Janet Skeslien Charles,"4.08 avg rating — 111,747 ratings"
"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,"4.13 avg rating — 79,591 ratings"
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,"4.24 avg rating — 310,471 ratings"
The Witch's Heart,Genevieve Gornichec,"4.06 avg rating — 43,278 ratings"
"Any Way the Wind Blows (Simon Snow, #3)",Rainbow Rowell,"4.13 avg rating — 49,081 ratings"
When Strivings Cease: Replacing the Gospel of Self-Improvement with the Gospel of Life-Transforming Grace,Ruth Chou Simons,"4.39 avg rating — 2,473 ratings"
Firekeeper's Daughter,Angeline Boulley,"4.35 avg rating — 129,772 ratings"
The Wife Upstairs,Rachel Hawkins,"3.75 avg rating — 231,251 ratings"
"Concrete Rose (The Hate U Give, #0)",Angie Thomas,"4.40 avg rating — 55,436 ratings"
Broken,Jenny  Lawson,"4.04 avg rating — 38,961 ratings"
The Mary Shelley Club,Goldy Moldavsky,"3.92 avg rating — 10,753 ratings"
